,Tweet_Text,created,Twitter_screenname,Followers,id,location
1010,@airvistara Please check,2022-05-03 10:12:35+00:00,aniket61,122,1.52143E+18,Delhi
1011,Need urgent help @airvistara,2022-05-03 10:09:21+00:00,aniket61,122,1.52143E+18,Delhi
1012,"@airvistara @airvistara 
@DelhiAirport 
Luggage has not been transferred to my destination airport where I landed and you guys didn't even bothered to inform me.
#pathetic 
Worst ever service of the airline and airport.
Now who is going to bear the losses",2022-05-03 09:54:24+00:00,shivams43390095,1,1.52143E+18,
1013,@airvistara But @airvistara has turned down my demand for compensation. Have you now started following the law? Please confirm that your violations have stopped and you are now going to compensate your victims,2022-05-03 09:49:04+00:00,Mabelsequeira5,18,1.52143E+18,karwar
1014,"@airvistara My flights BomGoa on 27 May n 01 jun2020 cancelled by @airvistara .Refunds denied initially paid after 6 months. Am still waiting fr compensation.  Please inform all pax that @airvistara will not pay compensation even if it violates 
@DGCAIndi",2022-05-03 09:47:17+00:00,Mabelsequeira5,18,1.52143E+18,karwar
1015,@airvistara @JM_Scindia sir please help to get my full refund https://t.co/eaynccJgx9,2022-05-03 09:47:13+00:00,iamwns,20,1.52143E+18,pune
1016,@flyspicejet @airvistara @IndiGo6E @jetairways @airindiain  can anyone please start non stop flight from Chandigarh to ranchi 😓. Will be very helpful @shukla_tarun need ur support,2022-05-03 09:46:24+00:00,ar_mayank,137,1.52143E+18,"Yamunanagar, India"
1018,"@airvistara UK993 Del -Mum 3 May. Simply amazing service &amp; care by Mohana, inflight crew. Great &amp; superb attitude, brilliant care, exceptional communication skills &amp; wow service with a natural smile. A big thanks to her and wish her success �",2022-05-03 09:27:46+00:00,abbasisonly,116,1.52142E+18,"Gurgaon, India"
1019,@airvistara And on the top of that let me tell you something funny the services you are charging exactly the amount of my ticket i avail them via indigo at free of cost that's why everyone choose indigo over vistara #Vistara  #indigo,2022-05-03 09:20:42+00:00,pawan_sharma10,35,1.52142E+18,Sirsa 
1020,"@airvistara has no value for your time &amp; money. Booked premium economy, was downgraded to economy; promised will get back fare difference. Have been following up for 5 months but no resolution. Service is pathetic; customer care useless &amp; careless",2022-05-03 09:10:27+00:00,Tanveem,441,1.52142E+18,Singapore
1021,@airvistara @airvistara Ms Deepshika thankyou for your instant reaction but its been 4 days I haven’t received any confirmation and progress regarding the same.,2022-05-03 08:57:50+00:00,neshat_tarique,24,1.52141E+18,"रांची, भारत"
1022,"@airvistara This is not true, your support team forced me to cancel the flight with cancellation penalty and I was charged more than 80 percent of the amount. This is more disrespectful that you think I got the refund. #Vistara",2022-05-03 08:50:58+00:00,pawan_sharma10,35,1.52141E+18,Sirsa 
1023,"@airvistara Madam Priyanka , just one more clarification - is Lufthansa interline partner with Vistara for the baggage rules mentioned in your tweet , thanks!",2022-05-03 08:48:39+00:00,dtpl54,23,1.52141E+18,
1024,@airvistara plz advise a way 2 reach u. Sharing d screenshot. Literally 1 hour of waiting and then call got disconnected. Plz advise how can a person who is booked with you get in touch with u. R you serious in airline business? As even a lal kila bus ser,2022-05-03 08:45:18+00:00,SanjayJena1638,309,1.52141E+18,"Jammu, Jammu And Kashmir"
1025,"Pls provide a clarification @airvistara - for passengers booked on Lufthansa flight frm Toronto to Zurich; Zurich to Mumbai by Lufthansa &amp; Mumbai to Chandigarh by UK653 ; wht are baggage rules for flight from Mum to Chd,Are rules same as on Toronto - Zurich &amp; Zurich- Mum sector",2022-05-03 08:40:09+00:00,dtpl54,23,1.52141E+18,
1027,@themazdman @airvistara Oooooooo makes sense,2022-05-03 08:12:35+00:00,ASquaredS,214,1.5214E+18,
