,Tweet_Text,created,Twitter_screenname,Followers,id,location
432,"RT @the_hindu: Tata Group-owned #AirIndia has proposed to buy the entire equity share capital of low-cost carrier #AirAsia India, in which…",2022-05-01 18:53:21+00:00,AshwStar90,576,1.52E+18,
433,"TATAs have just taken over AirIndia ..
Give them some time to set things right... https://t.co/r5Ri17eidE",2022-05-01 18:50:53+00:00,whymeumesh,196,1.52E+18,Bangalore
434,"RT @Peachtreespeaks: An icon that reminds a different era ! 
#AirIndia #ephemera",2022-05-01 18:13:37+00:00,LucillaGiannot1,7851,1.52E+18,Italia
435,"#AirIndiaSucks @airindiain AI 106 rescheduled and canceled multiple times!! What a horrible experience from AirIndia, never again!!",2022-05-01 18:04:29+00:00,Ron_King11001,0,1.52E+18,
436,AI404 flight cancellation due to technical issue but what patience and cooperation by #airindia staff. Miss Tazim M… https://t.co/DZUWdjnG9M,2022-05-01 17:40:30+00:00,god_is_now_here,65,1.52E+18,Planet Earth
437,"RT @BORN4WIN: #Russia has withdrawn from which UN body?
- #WTO (World Tourism Org.)

Which airline has proposed to acquire #AirAsia India?…",2022-05-01 17:37:03+00:00,ChichaAshok45,539,1.52E+18,"kanchikacherla, India"
438,"anyone recently flown from London heath-row to Ahmadabad direct flight air India
how was the flight?

#airindia… https://t.co/5xiEJ4LIzN",2022-05-01 16:14:20+00:00,loolbadboy,14,1.52E+18,
439,#airindia  Hi Team Can you provide us any reference no to track or contact details where I can reach someone to have update on this,2022-05-01 16:10:21+00:00,Perumal21405142,1,1.52E+18,"Central Region, Singapore"
440,RT @rehan_stark: Worst experience of my life with #airindia #AI191,2022-05-01 16:08:25+00:00,satzn,75,1.52E+18,Hyderabad
441,@airindiain It’s not just about 1 passenger. There are 100s of passengers waiting in distress for a help from real… https://t.co/6AXciWPSVK,2022-05-01 16:03:44+00:00,ShekAbhi247,83,1.52E+18,United States
442,@abpmajhatv @airindia has completely messed up flight ai191. Repeated blatant lying to passengers on the condition… https://t.co/CgacEKxN5d,2022-05-01 15:52:26+00:00,geetuji,318,1.52E+18,New York
443,First #AirIndia flight after the acquisition by Tatas. Hoping to experience the difference.,2022-05-01 15:39:00+00:00,UmeshBhutoria,869,1.52E+18,"Melbourne, Victoria"
444,"@boomaero 1972 (June perhaps)
#AirIndia - Kolkata-Mumbai
#AirIndia - Mumbai-Nairobi
East African Airways - Nairobi-… https://t.co/MBbeuVeifS",2022-05-01 15:11:45+00:00,MyMove,234,1.52E+18,universe 
445,@tmajumdar001 @airindiain @RNTata2000 @TataCompanies Airindia let all the passengers out lying that thwy are going… https://t.co/JJzwCwkb5g,2022-05-01 15:06:42+00:00,Meen_Agni,65,1.52E+18,
446,RT @rishublr: @RNTata2000 @DGCAIndia @CSMIA_Official  ownership change management change one thing doesn't changed for Airindia that's hara…,2022-05-01 15:04:39+00:00,iman_123,25,1.52E+18,Kolkata
447,@airindiain @airindiain no staff no information stuck at @CSMIA_Official . 400+ people struggling to find atleast u… https://t.co/KbqqmPQ9yq,2022-05-01 15:03:44+00:00,rishublr,10,1.52E+18,"Medford, MA"
448,@RNTata2000 @DGCAIndia @CSMIA_Official  ownership change management change one thing doesn't changed for Airindia t… https://t.co/KgG77Uo30j,2022-05-01 14:31:50+00:00,rishublr,10,1.52E+18,"Medford, MA"
449,Mumbai’s CSMIA witnesses positive boost in international passenger https://t.co/zYKzgvNBo8 #AirIndia… https://t.co/bpj9MwiddZ,2022-05-01 14:05:54+00:00,ADUmedia,1078,1.52E+18,"New Delhi, India"
450,"4hrs on board, still waiting for takeoff 
#airindia #AI191",2022-05-01 13:59:41+00:00,rehan_stark,0,1.52E+18,
451,".
Air India Airport Services Limited Hiring 2022
👉Link https://t.co/f1Z3e1yM5R

#airindia #aiairport #airportjobs… https://t.co/6EDMENnuHh",2022-05-01 13:56:42+00:00,PrepareNext_Com,23,1.52E+18,"Chennai, Tamil Nadu, India"
452,".
Air India Airport Services Limited Hiring 2022
👉Link https://t.co/f1Z3e1yM5R

#airindia #aiairport #airportjobs… https://t.co/2mA0dMEucI",2022-05-01 13:54:19+00:00,PrepareNext_Com,23,1.52E+18,"Chennai, Tamil Nadu, India"
453,Worst experience of my life with #airindia #AI191,2022-05-01 13:54:05+00:00,rehan_stark,0,1.52E+18,
454,"@sreevatsan66 Dear Sir, we request you to visit https://t.co/KmZgt2TtpB to know about the updated international travel guidelines.",2022-05-01 13:53:18+00:00,airindiain,562411,1.52E+18,"New Delhi, India"
455,@Tweet_KP @airindiain @TataCompanies LOL they don't have permission yet from custom and immigration for deboarding… https://t.co/vilNaopQla,2022-05-01 13:47:56+00:00,rehan_stark,0,1.52E+18,
